,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28
150,㔌,10354.0,zòu,sei3,,,,,,,,,,,,,,,,,,,,,,,,
151,㔍,10355.0,chuā,cap3,,,,,,,,,,,,,,,,,,,,,,,,
152,㔎,10356.0,xiè,sit3,,,,,,,,,,,,,,,,,,,,,,,,
153,㔏,10357.0,lì,gak3,,,,,,,,,,,,,,,,,,,,,,,,
154,㔒,10360.0,xí,kwai4,,,,,,,,,,,,,,,,,,,,,,,,
155,㔓,10361.0,jiǎn,gin2,,,,,,,,,,,,,,,,,,,,,,,,
156,㔗,10366.0,fèi,bei6,,,,,,,,,,,,,,,,,,,,,,,,
157,㔙,10369.0,bēng,ping1,,,,,,,,,,,,,,,,,,,,,,,,
158,㔝,10374.0,liǎng,loeng5,,,,,,,,,,,,,,,,,,,,,,,,
159,㔞,10376.0,kuài,fai3,,,,,,,,,,,,,,,,,,,,,,,,
160,丂,10383.0,kǎo,haau2,kháu,,,,こう,こう,こう,hangeul=교|rv=gyo|mr=kyo|y=kyo|eumhun=공교하다|ehrv=gonggyohada|ehmr=konggyohada|ehy=kongkyohada,,,,,,,,,,,,,,,,
161,丄,10384.0,,,,,,,じょう,じょう,しょう,hangeul=상|rv=sang|mr=sang|y=sang|eumhun=위|ehrv=wi|ehmr=wi|ehy=wi,,,,,,,,,,,,,,,,
162,丅,10385.0,,,,,,,げ,げ,か,hangeul=하|rv=ha|mr=ha|y=ha|eumhun=아래|ehrv=arae|ehmr=arae|ehy=alay,,,,,,,,,,,,,,,,
163,丈,10387.0,zhàng,zoeng6,chhong,,,3zan,じょう,じょう,ちょう,hangeul=장|rv=jang|mr=chang|y=cang|eumhun=어른|ehrv=eoleun|ehmr=ǒrǔn|ehy=,,,,,,,,,,,,,,,,
164,上,10388.0,shàng,soeng6,song,song4,,3zaan,じょう,じょう,しょう,,,,,,,,,,,,,,,,,
165,下,10389.0,xià,haa6,hâ,ha4,,3hho,げ,げ,か,,,,,,,,,,,,,,,,,
166,与,10392.0,,,,,,,よ,よ,よ,hangeul=여|rv=yeo|mr=yŏ,,,,,,,,,,,,,,,,
167,丏,10393.0,miǎn,min5,,,bián,,めん,めん,べん,hangeul=[[면]]|rv=myeon|mr=myŏn,,,,,,,,,,,,,,,,
168,丐,10394.0,gài,koi3,,,kài,2ke,かい,かい,かい,hangeul=[[갈]], [[개]]|rv=gal, gae|mr=kal, kae,,,,,,,,,,,,,
169,丑,10395.0,chǒu,cau2,chhú,,,,ちゅ,ちゅ,ちゅう,소|축,,,,,,,,,,,,,,,,
170,且,10398.0,qiě,ce2,chhiá,,chhiáⁿ,2qia,しゃ,しゃ,しゃ,hangeul=[[차]], [[저]], [[조]]|rv=cha, jeo, jo|mr=ch'a, chŏ, cho|eumhun=[[또]], [[공경스러울]], [[도마]]|ehrv=tto, gonggyeongseureoul, doma|ehmr=tto, konggyŏngsǔrǒul, toma|ehy=,,,,
171,丕,10399.0,pī,pei1,,,i,,ひ,ひ,ひ,크다|클|비,,,,,,,,,,,,,,,,
172,世,10400.0,shì,sai3,sṳ,,sì,2sr,せ,せ,せい,인간|세,,,,,,,,,,,,,,,,
173,丗,10401.0,,,,,,,せい,,,,,,,,,,,,,,,,,,,
174,丘,10402.0,qiū,jau1,hiû,,u,1qieu,く,く,きゅう,hangeul=구|rv=gu|mr=ku|eumhun=언덕|ehrv=eondeok|ehmr=ǒndǒk|ehy=,,,,,,,,,,,,,,,,
175,丞,10408.0,chéng,sing4,sṳ̀n,,sêng,3zen,じょう,じょう,しょう,hangeul=[[승]], [[증]]|rv=seung, jeung|mr=sŭng, chŭng|eumhun=[[정승]], [[나아갈]]|ehrv=jeongseung, naagal|ehmr=chǒngsǔng, naagal|ehy=,,,,,,,,,,
176,丟,10409.0,diū,diu1,tiû,,tiu,1tieu,ちゅ,ちゅ,ちゅう,hangeul=주|mr=chu|eumhun=아주 갈|ehrv=aju gal|ehmr=aju kal|ehy=,,,,,,,,,,,,,,,,
177,丠,10410.0,,,,,,,く,く,きゅう,hangeul=구|rv=gu|mr=ku,,,,,,,,,,,,,,,,
178,丣,10413.0,,,,,,,ゆ,ゆ,ゆう,hangeul=유|rv=yu|mr=yu,,,,,,,,,,,,,,,,
179,並,10416.0,bìng,bing6,pin,,pēng,3bin,びょう,びょう,へい,hangeul=[[병]], [[방]], [[반]]|rv=byeong, bang, ban|mr=pyŏng, pang, pan|y=pyeng, pang, pan|eumhun=아우를|ehrv=aureul|ehmr=aurǔl|ehy=,,,,,,,,
180,丩,10418.0,,,,,,,く,く,きゅう,hangeul=구|rv=gu|mr=ku,,,,,,,,,,,,,,,,
181,个,10419.0,,,,,,,か,か,か,,,,,,,,,,,,,,,,,
182,丫,10420.0,yā,aa1,,,a,,あ,あ,あ,hangeul=[[아]]|rv=a|mr=a|eumhun=가닥|ehrv=gadak|ehmr=kadak|ehy=,,,,,,,,,,,,,,,,
183,丮,10422.0,jǐ,gik1,,,,,きゃく,きゃく,けき,극,,,,,,,,,,,,,,,,
184,丯,10423.0,jiè,gaai3,,,,,かい,,かい,,,,,,,,,,,,,,,,,
185,丰,10424.0,fēng,fung1,,,,,ふ,ふ,ほう,hangeul=[[봉]]|rv=bong|mr=pong|eumhun=예쁠豊|ehrv=yeppeul|ehmr=yeppǔl|ehy=,,,,,,,,,,,,,,,,
186,丱,10425.0,guàn,gwaan3,,,koàn,,けん,けん,かん,hangeul=관|rv=gwan|mr=kwan|eumhun=쌍상투|ehrv=ssangsangtu|ehmr=ssangsangt'u|ehy=,,,,,,,,,,,,,,,,
187,串,10426.0,chuàn,cyun3,chhon,,chhǹg,2tshoe,せん,せん,せん,익히다|익힐|관,,,,,,,,,,,,,,,,
188,丳,10427.0,chǎn,caan2,,,,,せん,せん,さん,hangeul=찬|rv=chan|mr=ch'an,,,,,,,,,,,,,,,,
189,丵,10429.0,zhuó,zok6,,,,,さく,,,hangeul=착|rv=chak|mr=ch'ak,,,,,,,,,,,,,,,,
190,丸,10431.0,wán,jyun4,yèn,yan2,oân,3hhuoe,がん,がん,かん,hangeul=환|rv=hwan|mr=hwan|eumhun=둥글|ehrv=dunggeul|ehmr=tunggǔl|ehy=,,,,,,,,,,,,,,,,
