character	index	tone_label	Zhengzhang_onset	Zhengzhang_nucleus	Zhengzhang_coda	Pan_onset	Pan_nucleus	Pan_coda	Shao_onset	Shao_nucleus	Shao_coda	Pulleyblank_onset	Pulleyblank_nucleus	Pulleyblank_coda	Li_onset	Li_nucleus	Li_coda	Karlgren_onset	Karlgren_nucleus	Karlgren_coda
㾙	5638618	rising	h	iɪ	n	h	i	n	x	je	n	h	i	n	x	iĕ	n	x	i̯ĕ	n
鋀	5638619	level	tʰ	əu	∅	tʰ	əu	∅	tʰ	əu	∅	tʰ	əw	∅	tʰ	u	∅	tʰ	ə̯u	∅
㾛	5638620	rising	t͡sʰ	iɪ	m	t͡sʰ	i	m	t͡sʰ	je	m	t͡sʰ	i	m	t͡sʰ	iə	m	t͡sʰ	i̯ə	m
㾜	5638622	checked	kʰ	e	p̚	kʰ	e	p̚	kʰ	ɛ	p̚	kʰ	ɛ	p̚	kʰ	e	p̚	kʰ	ie	p̚
鋃	5638623	level	l	ɑ	ŋ	l	ɑ	ŋ	l	ɑ	ŋ	l	a	ŋ	l	ɑ	ŋ	l	ɑ	ŋ
㾞	5638624	level	j	ɨu	∅	j	iu	∅	∅	iəu	∅	j	uw	∅	∅	iu	∅	∅	i̯ə̯u	∅
鋇	5638625	departing	p	ɑi	∅	p	ɑi	∅	p	ɑi	∅	p	aj	∅	p	ɑi	∅	p	ɑi	∅
𤶗	5638626	rising	ŋ	ˠɛi	∅	ŋ	ᵚæi	∅	ŋ	ɐi	∅	ŋ	əɨj	∅	ŋ	ɛi	∅	ŋ	ăi	∅
鋈	5638627	checked	ʔ	uo	k̚	ʔ	uo	k̚	ʔ	o	k̚	ʔ	aw	k̚	ʔ	o	k̚	ʔ	uo	k̚
𤶘	5638628	checked	h	uə	t̚	h	uo	t̚	x	uə	t̚	h	wə	t̚	x	uə	t̚	x	uə	t̚
鋊	5638629	checked	j	ɨo	k̚	j	io	k̚	∅	io	k̚	j	uaw	k̚	∅	io	k̚	∅	i̯wo	k̚
𤶚	5638630	checked	n	e	t̚	n	e	t̚	n	ɛ	t̚	n	ɛ	t̚	n	e	t̚	n	ie	t̚
鋋	5638631	level	j	iᴇ	n	j	iɛ	n	∅	jæ	n	j	ia	n	∅	iɛ	n	∅	i̯ɛ	n
𤶠	5638632	level	ɖ	ˠa	∅	ɖ	ᵚa	∅	ȡ	a	∅	ɖ	aɨ	∅	ȡ	a	∅	ȡʱ	a	∅
鋌	5638633	rising	d	e	ŋ	d	e	ŋ	d	ɛ	ŋ	d	ɛj	ŋ	d	e	ŋ	dʱ	ie	ŋ
